Name,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
"Greene, VA",18403,15244.0,33141,20.0,$684,29.9,156.25
"Greensville, VA",12243,11560.0,21270,4.8,$435,24.9,295.23
"Halifax, VA",36241,37355.0,24458,12.3,$345,25.0,817.84
"Hampton, VA",137436,146437.0,32608,21.2,$736,22.3,51.41
"Hanover, VA",99863,86320.0,41119,32.7,$815,25.1,468.54
"Harrisonburg, VA",48914,40468.0,0,31.8,$641,15.5,17.42
"Henrico, VA",306935,262300.0,44079,39.0,$785,21.5,233.7
"Henry, VA",54151,57930.0,27427,10.9,$363,23.3,382.33
"Highland, VA",2321,2536.0,29036,21.7,$337,23.1,415.16
"Hopewell, VA",22591,22354.0,0,11.2,$539,22.0,10.28
"Isle of Wight, VA",35270,29728.0,35659,25.0,$524,28.8,315.61
"James City, VA",67009,48102.0,45843,45.4,$876,25.2,142.44
"King and Queen, VA",6945,6630.0,28972,10.5,$426,35.6,315.14
"King George, VA",23584,16803.0,35321,28.3,$741,31.1,179.64
"King William, VA",15935,13146.0,34148,19.6,$553,35.1,273.94
"Lancaster, VA",11391,11567.0,45242,28.3,$564,23.3,133.25
"Lee, VA",25587,23589.0,24297,12.0,$291,25.2,435.52
"Lexington, VA",7042,6867.0,0,47.6,$560,13.1,2.5
"Loudoun, VA",312311,169599.0,48789,56.5,$1308,32.8,515.56
"Louisa, VA",33153,25627.0,34033,16.6,$625,35.6,496.3
"Lunenburg, VA",12914,13146.0,22379,9.0,$398,31.6,431.68
"Lynchburg, VA",75568,65269.0,0,28.1,$491,16.4,49.13
"Madison, VA",13308,12520.0,28511,21.8,$569,28.8,320.68
"Manassas, VA",37821,35135.0,0,27.7,$1083,32.0,9.88
"Manassas Park, VA",14273,10290.0,0,24.8,$1193,40.6,2.53
"Martinsville, VA",13821,15416.0,0,17.8,$385,16.9,10.96
"Mathews, VA",8978,9207.0,44502,18.8,$612,36.6,85.93
"Mecklenburg, VA",32727,32380.0,26437,12.8,$360,26.0,625.49
"Middlesex, VA",10959,9932.0,35382,25.2,$568,27.4,130.31
"Montgomery, VA",94392,83629.0,25545,39.6,$626,17.8,387.01
"Nelson, VA",15020,14445.0,34331,20.3,$426,30.7,470.86
"New Kent, VA",18429,13462.0,32808,23.6,$788,30.0,209.73
"Newport News, VA",180719,180150.0,30423,22.9,$701,21.7,68.71
"Norfolk, VA",242803,234403.0,33371,23.4,$676,21.4,54.12
"Northampton, VA",12389,13093.0,27083,19.0,$469,17.9,211.61
"Northumberland, VA",12330,12259.0,33250,20.7,$444,25.8,191.3
"Norton, VA",3958,3904.0,0,19.1,$387,15.9,7.48
"Nottoway, VA",15853,15725.0,27417,12.1,$437,28.2,314.39
"Orange, VA",33481,25881.0,31055,20.3,$668,36.7,340.78
"Page, VA",24042,23177.0,25166,10.4,$433,35.3,310.86
"Patrick, VA",18490,19407.0,22598,10.5,$308,23.4,483.1
"Petersburg, VA",32420,33740.0,0,15.9,$579,20.9,22.93
"Pittsylvania, VA",63506,61745.0,26956,13.0,$369,25.7,968.94
"Poquoson, VA",12150,11566.0,0,34.2,$926,22.5,15.32
"Portsmouth, VA",95535,100565.0,30029,18.3,$694,22.8,33.65
"Powhatan, VA",28046,22377.0,37320,21.0,$659,31.2,260.22
"Prince Edward, VA",23368,19720.0,20703,19.0,$480,20.8,349.96
"Prince George, VA",35725,33047.0,29986,18.4,$772,21.1,265.16
"Prince William, VA",402002,280813.0,40659,37.7,$1143,39.1,336.4
"Pulaski, VA",34872,35127.0,29198,13.9,$375,21.0,319.86
"Radford, VA",16408,15859.0,0,30.7,$557,17.5,9.87
"Rappahannock, VA",7373,6983.0,38274,34.5,$828,35.4,266.23
"Richmond, VA",9254,8809.0,23456,10.9,$530,32.6,191.49
"Richmond City, VA",204214,197790.0,43011,32.5,$637,21.1,59.81
"Roanoke, VA",92376,85778.0,37324,32.0,$644,20.4,250.52
"Roanoke City, VA",97032,94911.0,34482,21.9,$506,18.2,42.56
"Rockbridge, VA",22307,20808.0,29712,23.0,$466,21.7,597.56
"Rockingham, VA",76314,67725.0,28589,21.5,$539,22.0,849.09
"Russell, VA",28897,30308.0,23124,9.5,$313,26.8,473.82
"Salem, VA",24802,24747.0,0,26.3,$583,17.7,14.44
"Scott, VA",23177,23403.0,24737,9.5,$308,27.8,535.53
"Shenandoah, VA",41993,35075.0,30340,17.6,$545,29.2,508.78
"Smyth, VA",32208,33081.0,25352,13.3,$353,22.3,450.93
"South Boston, VA",0,,0,0.0,$0,0.0,0.0
"Southampton, VA",18570,17482.0,27242,12.6,$425,32.3,599.15
"Spotsylvania, VA",122397,90395.0,37096,30.3,$973,39.1,401.5
"Stafford, VA",128961,92446.0,37255,35.5,$1100,39.4,268.96
"Staunton, VA",23746,23853.0,0,25.9,$510,19.5,19.98
"Suffolk, VA",84585,63677.0,33751,24.6,$574,27.2,400.17
"Surry, VA",7058,6829.0,27745,14.3,$405,34.0,278.95
"Sussex, VA",12087,12504.0,25479,9.8,$424,27.5,490.22
"Tazewell, VA",45078,44598.0,28810,14.4,$349,24.1,518.85
"Virginia Beach, VA",437994,425257.0,42821,31.6,$940,22.6,249.02
"Warren, VA",37575,31584.0,34650,21.7,$604,37.1,213.47
"Washington, VA",54876,51103.0,29907,19.6,$413,22.3,560.98
"Waynesboro, VA",21006,19520.0,0,21.7,$490,18.9,15.04
"Westmoreland, VA",17454,16718.0,30681,16.5,$588,37.5,229.38
"Williamsburg, VA",14068,11998.0,0,48.3,$819,18.8,9.02
"Winchester, VA",26203,23585.0,0,28.1,$717,20.4,9.23
"Wise, VA",41452,40123.0,26219,11.9,$357,23.2,403.19
"Wythe, VA",29235,27599.0,26287,14.4,$384,21.7,461.82
"York, VA",65464,56297.0,44184,41.5,$1036,22.1,104.78
"Addison, VT",36821,35974.0,34771,31.8,$673,22.1,766.33
"Bennington, VT",37125,36994.0,40758,31.2,$618,17.2,674.98
"Caledonia, VT",31227,29702.0,30777,27.9,$513,22.2,648.86
"Chittenden, VT",156545,146571.0,42594,44.7,$837,19.8,536.58
"Essex, VT",6306,6459.0,21764,16.1,$444,24.0,663.6
"Franklin, VT",47746,45417.0,32261,20.9,$620,26.1,633.71
"Grand Isle, VT",6970,6901.0,35021,29.4,$716,30.4,81.81
"Lamoille, VT",24475,23233.0,38352,32.3,$733,23.9,458.8
"Orange, VT",28936,28226.0,31354,28.3,$619,27.1,687.03
"Orleans, VT",27231,26277.0,29780,20.0,$511,22.1,693.27
"Rutland, VT",61642,63400.0,35664,25.7,$606,19.8,929.82
"Washington, VT",59534,58039.0,39146,36.8,$652,21.2,687.23
"Windham, VT",44513,44216.0,37105,33.3,$620,20.2,785.31
"Windsor, VT",56670,57418.0,40645,34.0,$693,20.7,969.34
"Adams, WA",18728,16428.0,26257,13.6,$417,16.0,1924.98
"Asotin, WA",21623,20551.0,30198,18.4,$484,16.5,636.21
"Benton, WA",175177,142475.0,34448,27.1,$618,21.0,1700.38
"Chelan, WA",72453,66616.0,32714,23.9,$565,18.0,2920.53
"Clallam, WA",71404,64525.0,32993,23.4,$613,20.2,1738.33
"Clark, WA",425363,345238.0,34426,25.5,$729,24.9,629.0
"Columbia, WA",4078,4064.0,33067,20.8,$409,21.3,868.63
"Cowlitz, WA",102410,92948.0,28076,14.4,$568,22.8,1140.13
"Douglas, WA",38431,32603.0,27260,18.0,$603,18.5,1819.26
"Ferry, WA",7551,7260.0,21520,15.6,$407,27.8,2203.16
"Franklin, WA",78163,49347.0,22106,14.4,$512,20.6,1242.17
"Garfield, WA",2266,2397.0,26397,19.4,$450,16.5,710.69
"Grant, WA",89120,74698.0,24733,13.6,$478,18.9,2679.51
"Grays Harbor, WA",72797,67194.0,26793,14.1,$519,22.7,1902.03
"Island, WA",78506,71558.0,35909,28.2,$800,25.9,208.45
"Jefferson, WA",29872,25953.0,41546,35.9,$633,23.8,1803.7
"King, WA",1931249,1737034.0,57710,44.8,$870,26.6,2115.57
"Kitsap, WA",251133,231969.0,41521,28.1,$764,29.9,394.94
"Kittitas, WA",40915,33362.0,28841,31.0,$654,20.3,2297.27
"Klickitat, WA",20318,19161.0,29949,17.4,$493,20.3,1871.31
"Lewis, WA",75455,68600.0,27618,15.4,$571,25.9,2402.8
"Lincoln, WA",10570,10184.0,27108,21.3,$427,21.5,2310.49
"Mason, WA",60699,49405.0,28883,19.3,$637,33.6,959.42
"Okanogan, WA",41120,39564.0,28880,17.5,$413,18.9,5267.98
"Pacific, WA",20920,20984.0,27270,16.5,$494,21.1,932.66
"Pend Oreille, WA",13001,11732.0,24745,17.4,$399,29.8,1399.99
"Pierce, WA",795225,700820.0,37446,23.3,$755,28.4,1669.51
"San Juan, WA",15769,14077.0,56398,44.7,$727,15.6,173.92
"Skagit, WA",116901,102979.0,37076,22.9,$742,24.8,1731.2
"Skamania, WA",11066,9872.0,30338,18.2,$509,29.3,1655.68
"Snohomish, WA",713335,606024.0,40302,27.9,$834,29.8,2087.27
"Spokane, WA",471221,417939.0,32019,27.2,$581,21.0,1763.79
"Stevens, WA",43531,40066.0,25204,18.3,$465,27.4,2477.77
"Thurston, WA",252264,207355.0,38242,31.2,$776,24.3,721.96
"Wahkiakum, WA",3978,3824.0,28047,16.3,$431,30.3,263.38
"Walla Walla, WA",58781,55180.0,29212,23.4,$547,14.8,1270.13
"Whatcom, WA",201140,166814.0,33487,31.7,$695,20.0,2106.86
"Whitman, WA",44776,40740.0,25087,44.8,$556,15.2,2159.09
"Yakima, WA",243231,222581.0,27965,15.7,$514,18.8,4295.4
"Adams, WI",20875,18643.0,27162,10.8,$434,26.6,645.65
"Ashland, WI",16157,16866.0,28512,19.4,$386,15.3,1045.04
"Barron, WI",45870,44963.0,29003,17.3,$484,19.3,862.71
"Bayfield, WI",15014,15013.0,28604,26.3,$439,21.9,1477.86
"Brown, WI",248007,226778.0,36242,25.9,$558,18.0,529.71
"Buffalo, WI",13587,13804.0,35409,14.9,$437,23.6,671.64
"Burnett, WI",15457,15674.0,27404,16.0,$422,24.5,821.85
"Calumet, WI",48971,40631.0,37793,24.6,$492,20.0,318.24
"Chippewa, WI",62415,55195.0,29267,17.5,$479,21.3,1008.37
"Clark, WI",34690,33557.0,26228,10.7,$389,20.8,1209.82
"Columbia, WI",56833,52468.0,37230,19.6,$556,26.7,765.53
"Crawford, WI",16644,17243.0,26415,16.1,$410,23.0,570.66
"Dane, WI",488073,426526.0,43617,44.4,$735,20.0,1197.24
"Dodge, WI",88759,85897.0,30751,15.0,$549,22.4,875.63
"Door, WI",27785,27961.0,39470,26.8,$523,18.6,481.98
"Douglas, WI",44159,43287.0,27899,21.1,$490,20.4,1304.14
"Dunn, WI",43857,39858.0,27588,24.7,$555,21.5,850.11
"Eau Claire, WI",98736,93142.0,32837,29.3,$536,17.4,637.98
"Florence, WI",4423,5088.0,29364,15.6,$371,20.4,488.2
"Fond du Lac, WI",101633,97296.0,35089,17.9,$523,19.4,719.55
"Forest, WI",9304,10024.0,24823,11.0,$360,21.3,1014.07
"Grant, WI",51208,49597.0,28299,19.1,$417,21.5,1146.85
"Green, WI",36842,33647.0,33786,18.3,$501,22.9,583.96
"Green Lake, WI",19051,19105.0,33356,16.1,$455,22.8,349.44
"Iowa, WI",23687,22780.0,33610,22.0,$496,25.8,762.58
"Iron, WI",5916,6861.0,26176,15.3,$373,20.1,758.17
"Jackson, WI",20449,19100.0,28986,13.7,$392,21.8,987.72
"Jefferson, WI",83686,74021.0,33649,21.3,$592,22.9,556.47
"Juneau, WI",26664,24316.0,25031,11.6,$442,22.1,766.93
"Kenosha, WI",166426,149577.0,33025,22.0,$664,26.1,271.99
"Kewaunee, WI",20574,20187.0,32751,13.1,$500,22.8,342.52
"La Crosse, WI",114638,107120.0,32853,28.6,$533,17.6,451.69
"Lafayette, WI",16836,16137.0,28468,15.3,$385,23.9,633.59
"Langlade, WI",19977,20740.0,28727,13.1,$403,19.8,870.64
"Lincoln, WI",28743,29641.0,29563,14.7,$403,22.1,878.97
"Manitowoc, WI",81442,82887.0,33222,18.0,$437,18.6,589.08
"Marathon, WI",134063,125834.0,35169,20.9,$512,18.4,1544.98
"Marinette, WI",41749,43384.0,29140,14.2,$418,19.8,1399.35
"Marquette, WI",15404,15832.0,27000,11.9,$481,26.7,455.6
"Menominee, WI",4232,4562.0,20638,10.3,$256,24.9,357.61
"Milwaukee, WI",947735,940164.0,35852,26.8,$615,21.4,241.4
"Monroe, WI",44673,40899.0,28211,15.2,$460,19.6,900.78
"Oconto, WI",37660,35634.0,29802,13.4,$414,26.6,997.99
"Oneida, WI",35998,36776.0,34252,21.8,$478,18.5,1112.97
"Outagamie, WI",176695,160971.0,36687,25.2,$546,18.8,637.52
"Ozaukee, WI",86395,82317.0,60059,42.2,$668,22.6,233.08
"Pepin, WI",7469,7213.0,29940,16.7,$410,26.8,231.98
"Pierce, WI",41019,36804.0,31609,25.2,$603,26.5,573.75
"Polk, WI",44205,41319.0,28674,18.1,$493,28.2,913.96
"Portage, WI",70019,67182.0,32450,26.0,$514,18.1,800.68
"Price, WI",14159,15822.0,29468,14.6,$412,19.6,1254.38
"Racine, WI",195408,188831.0,35763,22.4,$580,22.5,332.5
"Richland, WI",18021,17924.0,26354,14.6,$448,23.4,586.15
"Rock, WI",160331,152307.0,30891,19.6,$563,20.9,718.14
"Rusk, WI",14755,15347.0,23843,14.7,$389,22.0,913.59
"Sauk, WI",61976,55225.0,34709,19.6,$567,21.2,830.9
"Sawyer, WI",16557,16196.0,30381,20.4,$368,20.1,1257.31
"Shawano, WI",41949,40664.0,29111,13.9,$453,23.1,893.06
"Sheboygan, WI",115507,112646.0,37736,20.9,$506,17.5,511.27
"St. Croix, WI",84345,63155.0,36543,32.1,$694,26.7,722.33
"Taylor, WI",20689,19680.0,26712,12.9,$393,21.8,974.88
"Trempealeau, WI",28816,27010.0,29775,17.4,$405,21.7,732.97
"Vernon, WI",29773,28056.0,25128,18.4,$386,22.7,791.58
"Vilas, WI",21430,21033.0,31635,25.1,$433,20.4,856.6
"Walworth, WI",102228,93759.0,32239,25.2,$630,23.8,555.13
"Washburn, WI",15911,16036.0,26006,18.5,$483,22.1,797.11
"Washington, WI",131887,117493.0,41369,25.9,$637,23.3,430.7
"Waukesha, WI",389891,360767.0,52665,38.4,$757,22.7,549.57
"Waupaca, WI",52410,51731.0,33439,15.9,$491,21.2,747.71
"Waushara, WI",24496,23154.0,26298,12.5,$438,26.1,626.15
"Winnebago, WI",166994,156763.0,36600,24.7,$519,17.6,434.49
"Wood, WI",74749,75555.0,36028,19.0,$448,18.3,793.12
"Barbour, WV",16589,15557.0,23252,12.1,$313,30.6,341.06
"Berkeley, WV",104169,75905.0,29146,18.9,$591,29.7,321.14
"Boone, WV",24629,25535.0,24292,8.0,$288,29.5,501.54
"Braxton, WV",14523,14702.0,21174,9.6,$305,32.0,510.81
"Brooke, WV",24069,25447.0,27993,14.7,$338,24.3,89.21
"Cabell, WV",96319,96784.0,30646,21.8,$441,19.7,281.02
"Calhoun, WV",7627,7582.0,20507,7.5,$248,39.1,279.25
"Clay, WV",9386,10330.0,19133,10.1,$266,35.6,341.9
"Doddridge, WV",8202,7403.0,20793,8.3,$344,33.0,319.72
"Fayette, WV",46039,47579.0,24351,11.2,$330,28.8,661.55
"Gilmer, WV",8693,7160.0,24392,13.0,$331,23.2,338.5
"Grant, WV",11937,11299.0,27013,11.6,$335,25.8,477.37
"Greenbrier, WV",35480,34453.0,28533,17.2,$365,22.7,1019.57
"Hampshire, WV",23964,20203.0,22849,10.3,$370,36.2,640.25
"Hancock, WV",30676,32667.0,29002,15.7,$387,23.1,82.61
"Hardy, WV",14025,12669.0,24127,10.1,$336,26.1,582.31
"Harrison, WV",69099,68652.0,32627,18.4,$362,22.0,416.01
"Jackson, WV",29211,28000.0,25479,15.3,$355,28.4,464.35
"Jefferson, WV",53498,42190.0,35701,28.7,$632,37.1,209.64
"Kanawha, WV",193063,200073.0,39337,23.0,$437,20.6,901.59
"Lewis, WV",16372,16919.0,26963,11.5,$315,28.1,384.9
"Lincoln, WV",21720,22108.0,21162,8.7,$314,36.1,437.04
"Logan, WV",36743,37710.0,27554,8.7,$324,25.4,453.74
"Marion, WV",56418,56598.0,29849,19.7,$392,24.6,308.74
"Marshall, WV",33107,35519.0,28181,12.2,$327,23.5,305.43
"Mason, WV",27324,25957.0,24254,11.8,$327,27.2,430.75
"McDowell, WV",22113,27329.0,20344,5.7,$226,28.4,533.46
"Mercer, WV",62264,62980.0,27898,16.4,$360,22.8,418.99
"Mineral, WV",28212,27078.0,26868,14.1,$362,27.8,327.83
"Mingo, WV",26839,28253.0,25793,8.7,$293,26.8,423.11
"Monongalia, WV",96189,81866.0,33408,34.3,$504,21.2,360.06
"Monroe, WV",13502,14583.0,22269,14.1,$301,30.6,472.75
"Morgan, WV",17541,14943.0,33788,12.4,$516,33.1,229.07
"Nicholas, WV",26233,26562.0,26030,12.4,$316,26.3,646.82
"Ohio, WV",44443,47427.0,36328,24.6,$384,19.0,105.82
"Pendleton, WV",7695,8196.0,27366,15.2,$355,30.7,696.05
"Pleasants, WV",7605,7514.0,29757,12.7,$324,23.5,130.1
"Pocahontas, WV",8719,9131.0,26358,12.5,$268,26.9,940.28
"Preston, WV",33520,29334.0,25753,12.1,$290,30.1,648.81
"Putnam, WV",55486,51589.0,33505,23.9,$489,25.5,345.67
"Raleigh, WV",78859,79220.0,29658,14.8,$386,23.9,605.35
"Randolph, WV",29405,28262.0,28217,16.9,$322,20.3,1039.68
"Ritchie, WV",10449,10343.0,25815,9.0,$323,25.5,451.99
"Roane, WV",14926,15446.0,22104,9.5,$300,35.4,483.56
"Summers, WV",13927,12999.0,21273,12.2,$270,30.0,360.46
"Taylor, WV",16895,16089.0,23634,13.8,$291,32.2,172.77
"Tucker, WV",7141,7321.0,25963,13.2,$283,28.5,418.92
"Tyler, WV",9208,9592.0,22732,10.3,$301,29.0,256.29
"Upshur, WV",24254,23404.0,24507,15.5,$334,23.2,354.64
"Wayne, WV",42481,42903.0,24893,12.7,$349,24.8,505.98
"Webster, WV",9154,9719.0,20870,6.5,$265,30.6,553.47
"Wetzel, WV",16583,17693.0,27472,13.4,$330,28.8,358.06
"Wirt, WV",5717,5873.0,19165,11.0,$245,32.3,232.51
"Wood, WV",86956,87986.0,29872,18.9,$411,19.9,366.26
"Wyoming, WV",23796,25708.0,24030,7.9,$284,30.0,499.45
"Albany, WY",36299,32014.0,34983,48.8,$561,12.9,4273.84
"Big Horn, WY",11668,11461.0,28519,19.0,$348,20.0,3137.1
"Campbell, WY",46133,33698.0,47151,16.9,$654,20.9,4802.71
"Carbon, WY",15885,15639.0,40123,18.4,$465,16.4,7897.58
"Converse, WY",13833,12052.0,42602,17.0,$473,29.1,4254.88
"Crook, WY",7083,5887.0,43462,18.1,$444,24.6,2854.41
"Fremont, WY",40123,35804.0,35512,22.2,$431,19.4,9183.81
"Goshen, WY",13249,12538.0,32906,19.9,$373,19.9,2225.39
"Hot Springs, WY",4812,4882.0,39168,18.7,$350,19.9,2004.09
"Johnson, WY",8569,7075.0,40462,25.6,$539,15.1,4154.15
"Laramie, WY",91738,81607.0,43351,22.7,$552,15.3,2685.91
"Lincoln, WY",18106,14573.0,40373,17.4,$609,23.8,4076.13
"Natrona, WY",75450,66533.0,52543,21.5,$514,17.1,5340.35
"Niobrara, WY",2484,2407.0,35128,18.8,$309,15.5,2626.04
"Park, WY",28205,25786.0,44060,25.7,$483,16.6,6942.08
"Platte, WY",8667,8807.0,34480,16.9,$436,16.2,2084.21
"Sheridan, WY",29116,26560.0,50669,22.7,$534,17.0,2523.99
"Sublette, WY",10247,5920.0,61411,26.2,$744,19.3,4886.54
"Sweetwater, WY",43806,37613.0,46195,16.9,$638,21.9,10426.65
"Teton, WY",21294,18251.0,132728,49.5,$870,15.9,3995.38
"Uinta, WY",21118,19742.0,42621,17.3,$437,20.6,2081.26
"Washakie, WY",8533,8289.0,40781,24.5,$369,12.3,2238.55
"Weston, WY",7208,6644.0,41992,19.3,$388,25.3,2398.09
"District of Columbia, DC",601723,572059.0,62484,47.1,$882,29.4,61.05
