Name,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
"Dickens, TX",2444,2762.0,20042,11.2,$146,13.5,901.72
"Dimmit, TX",9996,10248.0,21490,14.2,$196,21.4,1328.88
"Donley, TX",3677,3828.0,25823,16.2,$375,17.2,926.89
"Duval, TX",11782,13120.0,24845,9.3,$264,25.8,1793.48
"Eastland, TX",18583,18297.0,32213,14.9,$280,19.2,926.49
"Ector, TX",137130,121123.0,31787,13.0,$461,19.0,897.69
"Edwards, TX",2002,2162.0,21054,20.9,$271,21.8,2117.86
"El Paso, TX",800647,679622.0,26585,18.8,$495,22.1,1012.69
"Ellis, TX",149610,111360.0,30958,19.4,$614,29.3,935.49
"Erath, TX",37890,33001.0,28331,23.5,$435,17.5,1083.07
"Falls, TX",17866,18576.0,23091,10.0,$326,26.1,765.48
"Fannin, TX",33915,31242.0,25258,13.4,$405,28.4,890.84
"Fayette, TX",24554,21804.0,35196,17.5,$438,23.0,950.01
"Fisher, TX",3974,4344.0,27655,15.4,$236,20.6,898.94
"Floyd, TX",6446,7771.0,29847,14.4,$294,18.6,992.14
"Foard, TX",1336,1622.0,26318,13.6,$195,13.3,704.4
"Fort Bend, TX",585375,354452.0,41779,38.9,$824,30.5,861.48
"Franklin, TX",10605,9458.0,28517,19.2,$425,25.0,284.39
"Freestone, TX",19816,17867.0,26107,14.5,$398,23.6,877.74
"Frio, TX",17217,16252.0,20718,10.1,$288,23.2,1133.5
"Gaines, TX",17526,14467.0,26807,9.7,$348,18.9,1502.38
"Galveston, TX",291309,250158.0,38553,25.6,$630,25.3,378.36
"Garza, TX",6461,4872.0,31362,8.6,$324,13.5,893.41
"Gillespie, TX",24837,20814.0,37366,25.6,$628,20.3,1058.21
"Glasscock, TX",1226,1406.0,39825,11.8,$329,21.4,900.22
"Goliad, TX",7210,6928.0,26489,14.6,$338,31.2,852.01
"Gonzales, TX",19807,18628.0,26757,14.7,$317,22.5,1066.69
"Gray, TX",22535,22744.0,36035,10.4,$399,16.9,925.97
